TimeStamp,Events,UV,Fluorescence,ToneStart_5_RWD,ToneStart_10_RWD,ToneStart_20_RWD,Dispense_RWD,Retrieval_RWD,TimeStampAdjusted,ToneStart,PelletGrab,ToneStart_5000,ToneStart_10000,ToneStart_20000,Debleached Fluorescence,Debleached UV,Estimated Motion,CorrectedFluorescence,Corrected_Fluorescence_Z_25,CorrectedFluorescence_Z,Xpos,Ypos,Speed_cm,Dispense_Bonsai,Retrieval_Bonsai,DistFromFED,Xpos_cm,Ypos_cm
0.0,,612.948,588.883,0,0,0,0,0,0.0,0,0,0,0,0,8.684518016651282,43.97547163739398,19.853429734653936,-11.168911718002654,1.633753726261212,-0.5603587781811595,75.04318620436473,41.52479395760613,29.189196904439967,1,1,6.906478020663808,-11.313271953695827,-1.0619081324603277
66.666,,606.957,585.438,0,0,0,0,0,0.066666,0,0,0,0,0,5.241055436795932,37.98672580479922,17.149682163358097,-11.908626726562163,1.40874308491247,-0.5974712389888271,83.3114217255251,40.94707915472372,2.263201633129847,0,0,6.642778695418439,-11.020931361284024,-1.098435975286343
133.327,,603.788,582.773,0,0,0,0,0,0.133327,0,0,0,0,0,2.5775927208616167,34.819979781979214,15.719986846934788,-13.142394126073173,1.033448828845193,-0.659370948647681,70.21632369908627,43.453079618707406,15.343740353242648,0,0,7.068876424799634,-11.480852370099198,-0.9841143445879865
200.0,,600.635,581.445,0,0,0,0,0,0.2,0,0,0,0,0,1.2511302608859296,31.669234143744006,14.297515246823746,-13.046384985937816,1.0626534251386577,-0.6545540456387912,66.23460967657218,46.60951388649301,20.855661596124747,0,0,7.212302723350811,-11.616056298977394,-0.8643683632245827
266.662,,595.654,578.002,0,0,0,0,0,0.2666619999999999,0,0,0,0,0,-2.190332473532408,26.690488112412368,12.049753717682457,-14.240086191214864,0.6995467277347398,-0.7144435823986041,84.94867896702176,54.958553502939054,8.008777136087826,0,0,6.682938567565106,-10.935667701398716,-0.6043069311457111
333.328,,593.784,579.642,0,0,0,0,0,0.3333279999999999,0,0,0,0,0,-0.5487951364805213,24.82274219516637,11.206519820517114,-11.755314956997635,1.4553783149630308,-0.5897793887850604,118.4332152108783,65.99747268394664,68.48031732063994,0,0,5.758705313396908,-9.725825816322653,-0.2773992305628852
399.994,,597.497,581.111,0,0,0,0,0,0.399994,0,0,0,0,0,0.9217421797985708,28.537996256757992,12.883850838825346,-11.962108659026775,1.3924746520901232,-0.6001544968645547,57.86885070481591,84.27794029968031,11.100232577514182,0,0,7.774806487271178,-11.83997880758482,0.4887897374533502
466.661,,595.078,578.187,0,0,0,0,0,0.466661,0,0,0,0,0,-2.0007205016352145,26.12125033099801,11.792759129498029,-13.793479631133245,0.8353980047153345,-0.692036752382064,61.417679976644,100.10790319552908,7.483899925550025,0,0,7.846616709424904,-11.683344604795042,1.0437569416189347
533.327,,589.412,576.802,0,0,0,0,0,0.533327,0,0,0,0,0,-3.384183226900973,20.457504350265022,9.23573970207502,-12.619922928975994,1.192377034687623,-0.633157891455339,62.47373962425349,110.7168692337394,5.2204269884740455,0,0,7.952105339767734,-11.625302931715531,1.4182488584810087
599.999,,591.527,579.047,0,0,0,0,0,0.5999990000000001,0,0,0,0,0,-1.137645834585328,22.57475855123096,10.191619457819684,-11.329265292405012,1.584976480698626,-0.5684039248613193,57.590467470847365,119.67445667531165,5.823040278340348,0,0,8.216451584855452,-11.781263127927717,1.7456393030330675
